Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work
EMP1000,Bob,Davis,25,DevOps-California,Active,02-Apr-21,59767.65,bob.davis@example.com,1651623197,Average,TRUE
EMP1001,Bob,Brown,32,Finance-Texas,Active,10-Jul-20,65304.66,bob.brown@example.com,1898471390,Excellent,TRUE
EMP1002,Alice,Jones,32,Admin-Nevada,Pending,07-Dec-23,88145.9,alice.jones@example.com,5596363211,Good,TRUE
EMP1003,Eva,Davis,25,Admin-Nevada,Inactive,27-Nov-21,69450.99,eva.davis@example.com,3476490784,Good,TRUE
EMP1004,Frank,Williams,25,Cloud Tech-Florida,Active,05-Jan-22,109324.61,frank.williams@example.com,1586734256,Poor,FALSE
EMP1005,Alice,Garcia,40,Sales-Texas,Inactive,10-Jun-20,88642.84,alice.garcia@example.com,5409003485,Good,FALSE
EMP1006,Frank,Jones,32,Admin-Nevada,Active,03-Apr-20,96288.43,frank.jones@example.com,4518376063,Good,FALSE
EMP1007,Bob,Jones,30,Cloud Tech-Florida,Inactive,17-Jul-22,94497.91,bob.jones@example.com,4134327559,Average,TRUE
EMP1008,Frank,Davis,35,Admin-Nevada,Inactive,08-Dec-23,115565.82,frank.davis@example.com,4177656123,Excellent,TRUE
EMP1009,Charlie,Johnson,32,DevOps-New York,Active,04-Aug-22,76561.88,charlie.johnson@example.com,8156985699,Excellent,TRUE
EMP1010,David,Williams,35,Cloud Tech-New York,Active,06-Jul-24,72081.71,david.williams@example.com,2720634590,Average,FALSE
EMP1011,David,Davis,32,DevOps-California,Active,04-Sep-23,84946.19,david.davis@example.com,1238296576,Poor,TRUE
EMP1012,Heidi,Williams,30,HR-New York,Active,05-Mar-24,89295.77,heidi.williams@example.com,2429543164,Excellent,FALSE
EMP1013,Grace,Williams,32,Finance-California,Active,10-Oct-20,85666.84,grace.williams@example.com,2669300892,Good,FALSE
EMP1014,Alice,Garcia,25,Admin-Nevada,Active,10-Jun-24,97633.68,alice.garcia@example.com,1734206968,Excellent,TRUE
EMP1015,Grace,Jones,40,Sales-Florida,Pending,29-May-21,117975.49,grace.jones@example.com,4215291085,Good,TRUE
EMP1016,Alice,Brown,25,DevOps-Illinois,Inactive,23-Apr-24,94867.33,alice.brown@example.com,7713334475,Poor,FALSE
EMP1017,Grace,Garcia,30,Finance-Texas,Pending,28-Nov-24,100377.65,grace.garcia@example.com,2639343625,Average,TRUE
EMP1018,Charlie,Garcia,32,Cloud Tech-Nevada,Inactive,19-Sep-24,94726.46,charlie.garcia@example.com,2044397358,Excellent,FALSE
EMP1019,Charlie,Williams,35,Admin-Illinois,Pending,02-Jan-20,91926.12,charlie.williams@example.com,7107256365,Average,TRUE
EMP1020,Bob,Miller,35,HR-New York,Active,08-May-21,111460.67,bob.miller@example.com,9411800536,Excellent,TRUE
EMP1021,Bob,Jones,40,Cloud Tech-Illinois,Active,19-Sep-20,96182.56,bob.jones@example.com,5990048963,Good,FALSE
EMP1022,Charlie,Johnson,35,Sales-Illinois,Inactive,09-Mar-21,115023.94,charlie.johnson@example.com,6528092427,Average,TRUE
EMP1023,David,Garcia,35,Finance-Nevada,Pending,03-Feb-22,80667.01,david.garcia@example.com,7572158623,Excellent,FALSE
EMP1024,Bob,Brown,30,Admin-Texas,Inactive,13-Feb-20,91181.61,bob.brown@example.com,1502745643,Good,TRUE
EMP1025,David,Miller,25,Cloud Tech-Nevada,Pending,30-Apr-20,66025.92,david.miller@example.com,9485625727,Average,FALSE
EMP1026,Frank,Miller,25,Sales-New York,Inactive,02-Oct-23,83979.01,frank.miller@example.com,7032032073,Average,FALSE
EMP1027,Heidi,Johnson,30,Finance-Florida,Active,12-Jul-20,56785.16,heidi.johnson@example.com,2761707586,Excellent,TRUE
EMP1028,Grace,Garcia,40,Finance-Nevada,Active,11-Oct-23,95741.88,grace.garcia@example.com,7712151341,Excellent,FALSE
EMP1029,Alice,Brown,40,DevOps-California,Active,24-May-21,63411.31,alice.brown@example.com,2849939088,Excellent,TRUE
EMP1030,Charlie,Jones,40,Admin-California,Inactive,26-May-21,111214.02,charlie.jones@example.com,2613715040,Good,TRUE
EMP1031,Bob,Smith,25,DevOps-Illinois,Active,10-Jul-20,114845.69,bob.smith@example.com,6591520176,Excellent,TRUE
EMP1032,Charlie,Brown,40,Finance-Florida,Active,05-Nov-24,78072.82,charlie.brown@example.com,7490509758,Average,FALSE
EMP1033,Grace,Johnson,25,Finance-California,Inactive,07-Aug-21,79610.52,grace.johnson@example.com,2304501895,Average,FALSE
EMP1034,Heidi,Miller,30,Admin-California,Active,29-Apr-20,90542.62,heidi.miller@example.com,1642361031,Excellent,TRUE
